holiday_id,destination,description,price
76,Cartagena,Visit the Roman Theatre and the Punic Walls.,850.00
77,Almeria,See the Alcazaba and explore the Tabernas Desert.,750.00
78,Granada,Visit the Alhambra Palace and the Generalife gardens.,900.00
79,Palermo,Explore the vibrant markets and the Palermo Cathedral.,780.00
80,Siena,Wander through the Piazza del Campo and see the Palio horse race.,820.00
81,Lucca,Cycle the historic walls and visit the Guinigi Tower.,750.00
82,Verona,See Juliet's balcony and explore the Arena di Verona.,880.00
83,Cinque Terre,Hike between the five colorful villages and enjoy the coastal views.,920.00
84,Lake Como,Relax by the lake and visit the Villa del Balbianello.,1050.00
85,Lugano,Explore the Swiss-Mediterranean city and enjoy the lake views.,850.00
86,Interlaken,Adventure in the Bernese Oberland and see the Jungfraujoch.,980.00
87,Zermatt,Hike in the Matterhorn region and enjoy the mountain views.,1120.00
88,Alesund,Explore the Art Nouveau architecture and see the Atlantic Sea-Park.,800.00
89,Tromsø,See the Northern Lights and visit the Arctic Cathedral.,920.00
90,Trondheim,Explore the Nidaros Cathedral and the Archbishop's Palace Museum.,850.00
91,Berat,Wander through the historic city and see the Berat Castle.,700.00
92,Gjirokastër,Explore the UNESCO-listed old town and visit the Gjirokastër Fortress.,780.00
93,Paphos,Relax on the beaches and visit the Tombs of the Kings.,820.00
94,Nicosia,Explore the divided city and see the Selimiye Mosque.,880.00
95,Cagliari,Visit the Bastione di Saint Remy and explore the old town.,750.00
96,Alghero,Relax on the beaches and explore the Neptune's Grotto.,800.00
97,Ajaccio,Visit the birthplace of Napoleon and explore the citadel.,850.00
98,Bonifacio,See the cliffs of Bonifacio and explore the old town.,900.00
99,Porto-Vecchio,Relax on the beaches and explore the Bavella Mountains.,950.00
100,Calvi,Visit the Citadel and enjoy the beaches.,880.00
